Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Oct 28 2014,10:30 pm,Houston Rockets,108,Los Angeles Lakers,90,Box Score,,
Tue Oct 28 2014,8:00 pm,Orlando Magic,84,New Orleans Pelicans,101,Box Score,,
Tue Oct 28 2014,8:00 pm,Dallas Mavericks,100,San Antonio Spurs,101,Box Score,,
Wed Oct 29 2014,7:30 pm,Brooklyn Nets,105,Boston Celtics,121,Box Score,,
Wed Oct 29 2014,7:00 pm,Milwaukee Bucks,106,Charlotte Hornets,108,Box Score,OT,
Wed Oct 29 2014,9:00 pm,Detroit Pistons,79,Denver Nuggets,89,Box Score,,
Wed Oct 29 2014,7:00 pm,Philadelphia 76ers,91,Indiana Pacers,103,Box Score,,
Wed Oct 29 2014,8:00 pm,Minnesota Timberwolves,101,Memphis Grizzlies,105,Box Score,,
Wed Oct 29 2014,7:30 pm,Washington Wizards,95,Miami Heat,107,Box Score,,
Wed Oct 29 2014,8:00 pm,Chicago Bulls,104,New York Knicks,80,Box Score,,
Wed Oct 29 2014,10:00 pm,Los Angeles Lakers,99,Phoenix Suns,119,Box Score,,
Wed Oct 29 2014,10:30 pm,Oklahoma City Thunder,89,Portland Trail Blazers,106,Box Score,,
Wed Oct 29 2014,10:00 pm,Golden State Warriors,95,Sacramento Kings,77,Box Score,,
Wed Oct 29 2014,7:30 pm,Atlanta Hawks,102,Toronto Raptors,109,Box Score,,
Wed Oct 29 2014,9:00 pm,Houston Rockets,104,Utah Jazz,93,Box Score,,
Thu Oct 30 2014,8:00 pm,New York Knicks,95,Cleveland Cavaliers,90,Box Score,,
Thu Oct 30 2014,8:30 pm,Utah Jazz,102,Dallas Mavericks,120,Box Score,,
Thu Oct 30 2014,10:30 pm,Oklahoma City Thunder,90,Los Angeles Clippers,93,Box Score,,
Thu Oct 30 2014,8:00 pm,Detroit Pistons,91,Minnesota Timberwolves,97,Box Score,,
Thu Oct 30 2014,7:00 pm,Washington Wizards,105,Orlando Magic,98,Box Score,,
Fri Oct 31 2014,8:00 pm,Cleveland Cavaliers,114,Chicago Bulls,108,Box Score,OT,
Fri Oct 31 2014,7:00 pm,Memphis Grizzlies,97,Indiana Pacers,89,Box Score,,
Fri Oct 31 2014,10:30 pm,Los Angeles Clippers,118,Los Angeles Lakers,111,Box Score,,
Fri Oct 31 2014,8:30 pm,Philadelphia 76ers,81,Milwaukee Bucks,93,Box Score,,
Fri Oct 31 2014,10:00 pm,San Antonio Spurs,89,Phoenix Suns,94,Box Score,,
Fri Oct 31 2014,10:00 pm,Portland Trail Blazers,94,Sacramento Kings,103,Box Score,,
Sat Nov 1 2014,7:30 pm,Indiana Pacers,92,Atlanta Hawks,102,Box Score,,
Sat Nov 1 2014,7:00 pm,Memphis Grizzlies,71,Charlotte Hornets,69,Box Score,,
Sat Nov 1 2014,7:30 pm,Brooklyn Nets,102,Detroit Pistons,90,Box Score,,
Sat Nov 1 2014,10:30 pm,Los Angeles Lakers,104,Golden State Warriors,127,Box Score,,
Sat Nov 1 2014,8:00 pm,Boston Celtics,90,Houston Rockets,104,Box Score,,
Sat Nov 1 2014,8:00 pm,Chicago Bulls,106,Minnesota Timberwolves,105,Box Score,,
Sat Nov 1 2014,7:00 pm,Dallas Mavericks,109,New Orleans Pelicans,104,Box Score,,
Sat Nov 1 2014,8:00 pm,Denver Nuggets,91,Oklahoma City Thunder,102,Box Score,,
Sat Nov 1 2014,7:00 pm,Toronto Raptors,108,Orlando Magic,95,Box Score,,
Sat Nov 1 2014,7:00 pm,Miami Heat,114,Philadelphia 76ers,96,Box Score,,
Sat Nov 1 2014,9:00 pm,Phoenix Suns,91,Utah Jazz,118,Box Score,,
Sat Nov 1 2014,7:00 pm,Milwaukee Bucks,97,Washington Wizards,108,Box Score,,
Sun Nov 2 2014,3:30 pm,Sacramento Kings,98,Los Angeles Clippers,92,Box Score,,
Sun Nov 2 2014,6:00 pm,Toronto Raptors,102,Miami Heat,107,Box Score,,
Sun Nov 2 2014,7:30 pm,Charlotte Hornets,93,New York Knicks,96,Box Score,,
Sun Nov 2 2014,9:00 pm,Golden State Warriors,95,Portland Trail Blazers,90,Box Score,,
Mon Nov 3 2014,7:30 pm,Oklahoma City Thunder,85,Brooklyn Nets,116,Box Score,,
Mon Nov 3 2014,8:30 pm,Boston Celtics,113,Dallas Mavericks,118,Box Score,,
Mon Nov 3 2014,9:00 pm,Sacramento Kings,110,Denver Nuggets,105,Box Score,,
Mon Nov 3 2014,10:30 pm,Utah Jazz,101,Los Angeles Clippers,107,Box Score,,
Mon Nov 3 2014,8:00 pm,New Orleans Pelicans,81,Memphis Grizzlies,93,Box Score,,
Mon Nov 3 2014,7:00 pm,Houston Rockets,104,Philadelphia 76ers,93,Box Score,,
Tue Nov 4 2014,8:00 pm,Orlando Magic,90,Chicago Bulls,98,Box Score,,
Tue Nov 4 2014,7:00 pm,Milwaukee Bucks,87,Indiana Pacers,81,Box Score,,
Tue Nov 4 2014,10:30 pm,Phoenix Suns,112,Los Angeles Lakers,106,Box Score,,
Tue Nov 4 2014,7:30 pm,Houston Rockets,108,Miami Heat,91,Box Score,,
Tue Nov 4 2014,8:00 pm,Charlotte Hornets,91,New Orleans Pelicans,100,Box Score,,
Tue Nov 4 2014,7:30 pm,Washington Wizards,98,New York Knicks,83,Box Score,,
Tue Nov 4 2014,10:00 pm,Cleveland Cavaliers,82,Portland Trail Blazers,101,Box Score,,
Tue Nov 4 2014,7:30 pm,Oklahoma City Thunder,88,Toronto Raptors,100,Box Score,,
Wed Nov 5 2014,7:30 pm,Toronto Raptors,110,Boston Celtics,107,Box Score,,
Wed Nov 5 2014,7:30 pm,Minnesota Timberwolves,98,Brooklyn Nets,91,Box Score,,
Wed Nov 5 2014,7:00 pm,Miami Heat,89,Charlotte Hornets,96,Box Score,,
Wed Nov 5 2014,7:30 pm,New York Knicks,95,Detroit Pistons,98,Box Score,,
Wed Nov 5 2014,10:30 pm,Los Angeles Clippers,104,Golden State Warriors,121,Box Score,,
Wed Nov 5 2014,8:00 pm,Chicago Bulls,95,Milwaukee Bucks,86,Box Score,,
Wed Nov 5 2014,7:00 pm,Orlando Magic,91,Philadelphia 76ers,89,Box Score,,
Wed Nov 5 2014,9:00 pm,Memphis Grizzlies,102,Phoenix Suns,91,Box Score,,
Wed Nov 5 2014,10:00 pm,Denver Nuggets,109,Sacramento Kings,131,Box Score,,
Wed Nov 5 2014,8:30 pm,Atlanta Hawks,92,San Antonio Spurs,94,Box Score,,
Wed Nov 5 2014,9:00 pm,Cleveland Cavaliers,100,Utah Jazz,102,Box Score,,
Wed Nov 5 2014,8:00 pm,Indiana Pacers,94,Washington Wizards,96,Box Score,OT,
Thu Nov 6 2014,8:00 pm,San Antonio Spurs,81,Houston Rockets,98,Box Score,,
Thu Nov 6 2014,10:30 pm,Dallas Mavericks,87,Portland Trail Blazers,108,Box Score,,
Fri Nov 7 2014,7:30 pm,Indiana Pacers,98,Boston Celtics,101,Box Score,,
Fri Nov 7 2014,7:30 pm,New York Knicks,99,Brooklyn Nets,110,Box Score,,
Fri Nov 7 2014,7:00 pm,Atlanta Hawks,119,Charlotte Hornets,122,Box Score,2OT,
Fri Nov 7 2014,10:30 pm,Cleveland Cavaliers,110,Denver Nuggets,101,Box Score,,
