Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Oct 28 2008,8:00 PM,Cleveland Cavaliers,85,Boston Celtics,90,Box Score,,
Tue Oct 28 2008,7:30 PM,Milwaukee Bucks,95,Chicago Bulls,108,Box Score,,
Tue Oct 28 2008,7:30 PM,Portland Trail Blazers,76,Los Angeles Lakers,96,Box Score,,
Wed Oct 29 2008,8:00 PM,Indiana Pacers,94,Detroit Pistons,100,Box Score,,
Wed Oct 29 2008,7:30 PM,New Orleans Hornets,108,Golden State Warriors,103,Box Score,,
Wed Oct 29 2008,7:30 PM,Memphis Grizzlies,71,Houston Rockets,82,Box Score,,
Wed Oct 29 2008,7:30 PM,Los Angeles Lakers,117,Los Angeles Clippers,79,Box Score,,
Wed Oct 29 2008,7:00 PM,Sacramento Kings,96,Minnesota Timberwolves,98,Box Score,,
Wed Oct 29 2008,7:30 PM,Miami Heat,115,New York Knicks,120,Box Score,,
Wed Oct 29 2008,7:00 PM,Milwaukee Bucks,98,Oklahoma City Thunder,87,Box Score,,
Wed Oct 29 2008,7:00 PM,Atlanta Hawks,99,Orlando Magic,85,Box Score,,
Wed Oct 29 2008,6:00 PM,Toronto Raptors,95,Philadelphia 76ers,84,Box Score,,
Wed Oct 29 2008,7:00 PM,Phoenix Suns,103,San Antonio Spurs,98,Box Score,,
Wed Oct 29 2008,7:00 PM,Denver Nuggets,94,Utah Jazz,98,Box Score,,
Wed Oct 29 2008,7:00 PM,New Jersey Nets,95,Washington Wizards,85,Box Score,,
Thu Oct 30 2008,7:00 PM,Charlotte Bobcats,79,Cleveland Cavaliers,96,Box Score,,
Thu Oct 30 2008,7:00 PM,Houston Rockets,112,Dallas Mavericks,102,Box Score,,
Thu Oct 30 2008,7:30 PM,New Orleans Hornets,108,Phoenix Suns,95,Box Score,,
Fri Oct 31 2008,8:00 PM,Chicago Bulls,80,Boston Celtics,96,Box Score,,
Fri Oct 31 2008,7:30 PM,Denver Nuggets,113,Los Angeles Clippers,103,Box Score,OT,
Fri Oct 31 2008,7:00 PM,Orlando Magic,84,Memphis Grizzlies,86,Box Score,,
Fri Oct 31 2008,7:30 PM,Sacramento Kings,77,Miami Heat,103,Box Score,,
Fri Oct 31 2008,7:00 PM,New York Knicks,87,Philadelphia 76ers,116,Box Score,,
Fri Oct 31 2008,7:30 PM,San Antonio Spurs,99,Portland Trail Blazers,100,Box Score,,
Fri Oct 31 2008,7:00 PM,Golden State Warriors,108,Toronto Raptors,112,Box Score,OT,
Sat Nov 1 2008,7:00 PM,Philadelphia 76ers,88,Atlanta Hawks,95,Box Score,,
Sat Nov 1 2008,7:00 PM,Miami Heat,87,Charlotte Bobcats,100,Box Score,,
Sat Nov 1 2008,7:30 PM,Memphis Grizzlies,86,Chicago Bulls,96,Box Score,,
Sat Nov 1 2008,7:00 PM,Los Angeles Lakers,104,Denver Nuggets,97,Box Score,,
Sat Nov 1 2008,7:30 PM,Washington Wizards,109,Detroit Pistons,117,Box Score,,
Sat Nov 1 2008,7:30 PM,Oklahoma City Thunder,77,Houston Rockets,89,Box Score,,
Sat Nov 1 2008,7:00 PM,Boston Celtics,79,Indiana Pacers,95,Box Score,,
Sat Nov 1 2008,7:30 PM,Toronto Raptors,91,Milwaukee Bucks,87,Box Score,,
Sat Nov 1 2008,7:00 PM,Dallas Mavericks,95,Minnesota Timberwolves,85,Box Score,,
Sat Nov 1 2008,7:30 PM,Golden State Warriors,105,New Jersey Nets,97,Box Score,,
